"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"COMPUTERS IN BIOLOGY AND MEDICINE","COMPUT BIOL MED","0010-4825","1879-0534","BIOLOGY - SCIE","21,417","7.7","Q1","1.62","12.4"%,
"COMPUTERS IN BIOLOGY AND MEDICINE","COMPUT BIOL MED","0010-4825","1879-0534","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","21,417","7.7","Q1","1.62","12.4"%,
"COMPUTERS IN BIOLOGY AND MEDICINE","COMPUT BIOL MED","0010-4825","1879-0534","ENGINEERING, BIOMEDICAL - SCIE","21,417","7.7","Q1","1.62","12.4"%,
"COMPUTERS IN BIOLOGY AND MEDICINE","COMPUT BIOL MED","0010-4825","1879-0534","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","21,417","7.7","Q1","1.62","12.4"%,
"Frontiers in Immunology","FRONT IMMUNOL","1664-3224","1664-3224","IMMUNOLOGY - SCIE","163,472","7.3","Q1","0.97","99.46"%,
"PHYSIOLOGIA PLANTARUM","PHYSIOL PLANTARUM","0031-9317","1399-3054","PLANT SCIENCES - SCIE","20,604","6.4","Q1","1.53","11.38"%,
"JOURNAL OF INFECTIOUS DISEASES","J INFECT DIS","0022-1899","1537-6613","IMMUNOLOGY - SCIE","49,684","6.4","Q2","1.35","32.77"%,
"JOURNAL OF INFECTIOUS DISEASES","J INFECT DIS","0022-1899","1537-6613","INFECTIOUS DISEASES - SCIE","49,684","6.4","Q1","1.35","32.77"%,
"JOURNAL OF INFECTIOUS DISEASES","J INFECT DIS","0022-1899","1537-6613","MICROBIOLOGY - SCIE","49,684","6.4","Q1","1.35","32.77"%,
"Computational and Structural Biotechnology Journal","COMPUT STRUCT BIOTEC","2001-0370","2001-0370","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","9,223","6","Q1","1.05","91.83"%,
"Journal of Chemical Information and Modeling","J CHEM INF MODEL","1549-9596","1549-960X","CHEMISTRY, MEDICINAL - SCIE","31,925","5.6","Q1","1.32","10.47"%,
"Journal of Chemical Information and Modeling","J CHEM INF MODEL","1549-9596","1549-960X","CHEMISTRY, MULTIDISCIPLINARY - SCIE","31,925","5.6","Q2","1.32","10.47"%,
"Journal of Chemical Information and Modeling","J CHEM INF MODEL","1549-9596","1549-960X","COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","31,925","5.6","Q2","1.32","10.47"%,
"Journal of Chemical Information and Modeling","J CHEM INF MODEL","1549-9596","1549-960X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","31,925","5.6","Q2","1.32","10.47"%,
"International Immunopharmacology","INT IMMUNOPHARMACOL","1567-5769","1878-1705","IMMUNOLOGY - SCIE","31,549","5.6","Q2","1.25","9.11"%,
"International Immunopharmacology","INT IMMUNOPHARMACOL","1567-5769","1878-1705","PHARMACOLOGY & PHARMACY - SCIE","31,549","5.6","Q1","1.25","9.11"%,
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","1661-6596","1422-0067","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","281,932","5.6","Q1","0.71","99.51"%,
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","1661-6596","1422-0067","CHEMISTRY, MULTIDISCIPLINARY - SCIE","281,932","5.6","Q2","0.71","99.51"%,
"Pharmaceuticals","PHARMACEUTICALS-BASE","N/A","1424-8247","CHEMISTRY, MEDICINAL - SCIE","14,938","4.6","Q2","1.01","99.47"%,
"Pharmaceuticals","PHARMACEUTICALS-BASE","N/A","1424-8247","PHARMACOLOGY & PHARMACY - SCIE","14,938","4.6","Q2","1.01","99.47"%,
"JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS","J BIOMOL STRUCT DYN","0739-1102","1538-0254","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13,444","4.4","Q2","0.96","1.16"%,
"JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS","J BIOMOL STRUCT DYN","0739-1102","1538-0254","BIOPHYSICS - SCIE","13,444","4.4","Q1","0.96","1.16"%,
