"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Carbohydrate Polymers","CARBOHYD POLYM","0144-8617","1879-1344","CHEMISTRY, APPLIED - SCIE","128,007","11.2","Q1","2.27","5.59"%,
"Carbohydrate Polymers","CARBOHYD POLYM","0144-8617","1879-1344","CHEMISTRY, ORGANIC - SCIE","128,007","11.2","Q1","2.27","5.59"%,
"Carbohydrate Polymers","CARBOHYD POLYM","0144-8617","1879-1344","POLYMER SCIENCE - SCIE","128,007","11.2","Q1","2.27","5.59"%,
"International Journal of Biological Macromolecules","INT J BIOL MACROMOL","0141-8130","1879-0003","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","131,764","8.2","Q1","1.44","3.19"%,
"International Journal of Biological Macromolecules","INT J BIOL MACROMOL","0141-8130","1879-0003","CHEMISTRY, APPLIED - SCIE","131,764","8.2","Q1","1.44","3.19"%,
"International Journal of Biological Macromolecules","INT J BIOL MACROMOL","0141-8130","1879-0003","POLYMER SCIENCE - SCIE","131,764","8.2","Q1","1.44","3.19"%,
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","1661-6596","1422-0067","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","281,932","5.6","Q1","0.71","99.51"%,
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","1661-6596","1422-0067","CHEMISTRY, MULTIDISCIPLINARY - SCIE","281,932","5.6","Q2","0.71","99.51"%,
"BIOORGANIC CHEMISTRY","BIOORG CHEM","0045-2068","1090-2120","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","20,015","5.1","Q2","1.18","2.25"%,
"BIOORGANIC CHEMISTRY","BIOORG CHEM","0045-2068","1090-2120","CHEMISTRY, ORGANIC - SCIE","20,015","5.1","Q1","1.18","2.25"%,
"APPLIED MICROBIOLOGY AND BIOTECHNOLOGY","APPL MICROBIOL BIOT","0175-7598","1432-0614","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","56,775","5","Q1","0.84","15.16"%,
"BIOCHEMICAL JOURNAL","BIOCHEM J","0264-6021","1470-8728","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","45,474","4.1","Q2","0.61","82.26"%,
"BIOSCIENCE REPORTS","BIOSCIENCE REP","0144-8463","1573-4935","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","13,603","4","Q2","0.57","99.28"%,
"BIOSCIENCE REPORTS","BIOSCIENCE REP","0144-8463","1573-4935","CELL BIOLOGY - SCIE","13,603","4","Q3","0.57","99.28"%,
"ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS","ARCH BIOCHEM BIOPHYS","0003-9861","1096-0384","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","24,337","3.9","Q2","0.82","8.02"%,
"ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS","ARCH BIOCHEM BIOPHYS","0003-9861","1096-0384","BIOPHYSICS - SCIE","24,337","3.9","Q1","0.82","8.02"%,
"Journal of Proteomics","J PROTEOMICS","1874-3919","1876-7737","BIOCHEMICAL RESEARCH METHODS - SCIE","11,664","3.3","Q2","0.88","11.84"%,
"JOURNAL OF PHYSICAL CHEMISTRY B","J PHYS CHEM B","1520-6106","1520-5207","CHEMISTRY, PHYSICAL - SCIE","98,869","3.3","Q3","0.47","8.64"%,
"Comparative Biochemistry and Physiology D-Genomics & Proteomics","COMP BIOCHEM PHYS D","1744-117X","1878-0407","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2,039","3","Q3","0.68","4.59"%,
"Comparative Biochemistry and Physiology D-Genomics & Proteomics","COMP BIOCHEM PHYS D","1744-117X","1878-0407","GENETICS & HEREDITY - SCIE","2,039","3","Q3","0.68","4.59"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","BIOCHEMICAL RESEARCH METHODS - SCIE","11,686","2.9","Q3","0.81","1.66"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","11,686","2.9","Q3","0.81","1.66"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","11,686","2.9","Q3","0.81","1.66"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","CRYSTALLOGRAPHY - SCIE","11,686","2.9","Q2","0.81","1.66"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","11,686","2.9","Q2","0.81","1.66"%,
"TOXICON","TOXICON","0041-0101","1879-3150","PHARMACOLOGY & PHARMACY - SCIE","12,938","2.8","Q3","0.67","5.23"%,
"TOXICON","TOXICON","0041-0101","1879-3150","TOXICOLOGY - SCIE","12,938","2.8","Q3","0.67","5.23"%,
"PROTEIN ENGINEERING DESIGN & SELECTION","PROTEIN ENG DES SEL","1741-0126","1741-0134","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4,615","2.4","Q4","0.28","14.55"%,
"PROTEIN ENGINEERING DESIGN & SELECTION","PROTEIN ENG DES SEL","1741-0126","1741-0134","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","4,615","2.4","Q3","0.28","14.55"%,
"EXPERIMENTAL PARASITOLOGY","EXP PARASITOL","0014-4894","1090-2449","PARASITOLOGY - SCIE","6,090","2.1","Q3","0.61","6.91"%,
"BRAZILIAN JOURNAL OF PHYSICS","BRAZ J PHYS","0103-9733","1678-4448","PHYSICS, MULTIDISCIPLINARY - SCIE","1,770","1.6","Q3","0.37","1.46"%,
"PROTEIN AND PEPTIDE LETTERS","PROTEIN PEPTIDE LETT","0929-8665","1875-5305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","2,500","1.6","Q4","0.26","0"%,
"JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY","J BRAZIL CHEM SOC","0103-5053","1678-4790","CHEMISTRY, MULTIDISCIPLINARY - SCIE","6,794","1.4","Q4","0.28","98.08"%,
"BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING","BRAZ J CHEM ENG","0104-6632","1678-4383","ENGINEERING, CHEMICAL - SCIE","2,847","1.2","Q4","0.22","2.48"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
