"Journal Data Filtered By:  Selected Editions: SCIE;SSCI Selected JCR Year: 2019 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2019 JIF,JIF Quartile,2019 JCI,% of OA Gold
"CARBOHYDRATE POLYMERS","CARBOHYD POLYM","0144-8617","1879-1344","CHEMISTRY, APPLIED - SCIE","79,342","7.182","Q1","1.88","1.11"%,
"CARBOHYDRATE POLYMERS","CARBOHYD POLYM","0144-8617","1879-1344","CHEMISTRY, ORGANIC - SCIE","79,342","7.182","Q1","1.88","1.11"%,
"CARBOHYDRATE POLYMERS","CARBOHYD POLYM","0144-8617","1879-1344","POLYMER SCIENCE - SCIE","79,342","7.182","Q1","1.88","1.11"%,
"INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES","INT J BIOL MACROMOL","0141-8130","1879-0003","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","47,121","5.162","Q1","1.31","0.46"%,
"INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES","INT J BIOL MACROMOL","0141-8130","1879-0003","CHEMISTRY, APPLIED - SCIE","47,121","5.162","Q1","1.31","0.46"%,
"INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES","INT J BIOL MACROMOL","0141-8130","1879-0003","POLYMER SCIENCE - SCIE","47,121","5.162","Q1","1.31","0.46"%,
"BIOORGANIC CHEMISTRY","BIOORG CHEM","0045-2068","1090-2120","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5,712","4.831","Q1","1.23","0.52"%,
"BIOORGANIC CHEMISTRY","BIOORG CHEM","0045-2068","1090-2120","CHEMISTRY, ORGANIC - SCIE","5,712","4.831","Q1","1.23","0.52"%,
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","N/A","1422-0067","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","77,288","4.556","Q1","0.65","100"%,
"INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","INT J MOL SCI","N/A","1422-0067","CHEMISTRY, MULTIDISCIPLINARY - SCIE","77,288","4.556","Q2","0.65","100"%,
"BIOCHEMICAL JOURNAL","BIOCHEM J","0264-6021","1470-8728","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","45,581","4.097","Q2","0.81","19.75"%,
"APPLIED MICROBIOLOGY AND BIOTECHNOLOGY","APPL MICROBIOL BIOT","0175-7598","1432-0614","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","45,244","3.53","Q2","0.9","8.38"%,
"Journal of Proteomics","J PROTEOMICS","1874-3919","1876-7737","BIOCHEMICAL RESEARCH METHODS - SCIE","10,344","3.509","Q2","1.12","4.46"%,
"ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS","ARCH BIOCHEM BIOPHYS","0003-9861","1096-0384","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","21,797","3.391","Q2","0.92","3.06"%,
"ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS","ARCH BIOCHEM BIOPHYS","0003-9861","1096-0384","BIOPHYSICS - SCIE","21,797","3.391","Q2","0.92","3.06"%,
"Comparative Biochemistry and Physiology D-Genomics & Proteomics","COMP BIOCHEM PHYS D","1744-117X","1878-0407","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","1,181","3.011","Q3","0.75","2.63"%,
"Comparative Biochemistry and Physiology D-Genomics & Proteomics","COMP BIOCHEM PHYS D","1744-117X","1878-0407","GENETICS & HEREDITY - SCIE","1,181","3.011","Q2","0.75","2.63"%,
"BIOSCIENCE REPORTS","BIOSCIENCE REP","0144-8463","1573-4935","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","5,711","2.942","Q3","0.47","100"%,
"BIOSCIENCE REPORTS","BIOSCIENCE REP","0144-8463","1573-4935","CELL BIOLOGY - SCIE","5,711","2.942","Q3","0.47","100"%,
"JOURNAL OF PHYSICAL CHEMISTRY B","J PHYS CHEM B","1520-6106","1520-5207","CHEMISTRY, PHYSICAL - SCIE","106,982","2.857","Q2","0.52","2.6"%,
"TOXICON","TOXICON","0041-0101","1879-3150","PHARMACOLOGY & PHARMACY - SCIE","11,863","2.201","Q3","0.79","1.44"%,
"TOXICON","TOXICON","0041-0101","1879-3150","TOXICOLOGY - SCIE","11,863","2.201","Q3","0.79","1.44"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","BIOCHEMICAL RESEARCH METHODS - SCIE","7,834","2.079","Q3","0.7","1.48"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","7,834","2.079","Q3","0.7","1.48"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","7,834","2.079","Q3","0.7","1.48"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","CRYSTALLOGRAPHY - SCIE","7,834","2.079","Q2","0.7","1.48"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","1093-3263","1873-4243","MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE","7,834","2.079","Q2","0.7","1.48"%,
"PROTEIN ENGINEERING DESIGN & SELECTION","PROTEIN ENG DES SEL","1741-0126","1741-0134","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","4,666","1.774","Q4","0.51","14.04"%,
"PROTEIN ENGINEERING DESIGN & SELECTION","PROTEIN ENG DES SEL","1741-0126","1741-0134","BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE","4,666","1.774","Q4","0.51","14.04"%,
"EXPERIMENTAL PARASITOLOGY","EXP PARASITOL","0014-4894","1090-2449","PARASITOLOGY - SCIE","5,614","1.69","Q3","0.59","3.26"%,
"JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY","J BRAZIL CHEM SOC","0103-5053","1678-4790","CHEMISTRY, MULTIDISCIPLINARY - SCIE","5,983","1.399","Q3","0.26","100"%,
"PROTEIN AND PEPTIDE LETTERS","PROTEIN PEPTIDE LETT","0929-8665","1875-5305","BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE","1,995","1.156","Q4","0.24","0"%,
"BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING","BRAZ J CHEM ENG","0104-6632","1678-4383","ENGINEERING, CHEMICAL - SCIE","2,411","1.027","Q4","0.19","100"%,
"BRAZILIAN JOURNAL OF PHYSICS","BRAZ J PHYS","0103-9733","1678-4448","PHYSICS, MULTIDISCIPLINARY - SCIE","1,256","0.895","Q4","0.31","0"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
